Algorithm,Day,Time,Capacity,Trucks,Time_Limit_Mins,Total_Satisfied,Stations_Visited
Nearest Neighbor,Tuesday,06:00-09:00,20,5,90,71,65
Greedy Demand,Tuesday,06:00-09:00,20,5,90,104,49
Nearest Neighbor,Tuesday,06:00-09:00,20,1,120,24,20
Greedy Demand,Tuesday,06:00-09:00,20,1,120,31,12
Nearest Neighbor,Tuesday,06:00-09:00,20,2,120,41,38
Greedy Demand,Tuesday,06:00-09:00,20,2,120,61,27
Nearest Neighbor,Tuesday,06:00-09:00,20,3,120,63,56
Greedy Demand,Tuesday,06:00-09:00,20,3,120,90,42
Nearest Neighbor,Tuesday,06:00-09:00,20,4,120,76,71
Greedy Demand,Tuesday,06:00-09:00,20,4,120,100,50
Nearest Neighbor,Tuesday,06:00-09:00,20,5,120,89,88
Greedy Demand,Tuesday,06:00-09:00,20,5,120,118,68
Nearest Neighbor,Tuesday,06:00-09:00,20,1,150,29,25
Greedy Demand,Tuesday,06:00-09:00,20,1,150,31,17
Nearest Neighbor,Tuesday,06:00-09:00,20,2,150,49,48
Greedy Demand,Tuesday,06:00-09:00,20,2,150,67,35
Nearest Neighbor,Tuesday,06:00-09:00,20,3,150,71,71
Greedy Demand,Tuesday,06:00-09:00,20,3,150,86,46
Nearest Neighbor,Tuesday,06:00-09:00,20,4,150,90,91
Greedy Demand,Tuesday,06:00-09:00,20,4,150,108,68
Nearest Neighbor,Tuesday,06:00-09:00,20,5,150,108,109
Greedy Demand,Tuesday,06:00-09:00,20,5,150,128,88
Nearest Neighbor,Tuesday,06:00-09:00,20,1,180,35,30
Greedy Demand,Tuesday,06:00-09:00,20,1,180,39,22
Nearest Neighbor,Tuesday,06:00-09:00,20,2,180,58,56
Greedy Demand,Tuesday,06:00-09:00,20,2,180,81,43
Nearest Neighbor,Tuesday,06:00-09:00,20,3,180,87,85
Greedy Demand,Tuesday,06:00-09:00,20,3,180,100,61
Nearest Neighbor,Tuesday,06:00-09:00,20,4,180,107,109
Greedy Demand,Tuesday,06:00-09:00,20,4,180,126,88
Nearest Neighbor,Tuesday,06:00-09:00,20,5,180,138,129
Greedy Demand,Tuesday,06:00-09:00,20,5,180,140,106
Nearest Neighbor,Tuesday,06:00-09:00,40,1,60,10,10
Greedy Demand,Tuesday,06:00-09:00,40,1,60,14,4
Nearest Neighbor,Tuesday,06:00-09:00,40,2,60,23,20
Greedy Demand,Tuesday,06:00-09:00,40,2,60,32,10
Nearest Neighbor,Tuesday,06:00-09:00,40,3,60,30,28
Greedy Demand,Tuesday,06:00-09:00,40,3,60,39,13
Nearest Neighbor,Tuesday,06:00-09:00,40,4,60,40,36
Greedy Demand,Tuesday,06:00-09:00,40,4,60,55,21
Nearest Neighbor,Tuesday,06:00-09:00,40,5,60,52,44
Greedy Demand,Tuesday,06:00-09:00,40,5,60,67,27
Nearest Neighbor,Tuesday,06:00-09:00,40,1,90,17,15
Greedy Demand,Tuesday,06:00-09:00,40,1,90,23,7
Nearest Neighbor,Tuesday,06:00-09:00,40,2,90,33,29
Greedy Demand,Tuesday,06:00-09:00,40,2,90,49,18
Nearest Neighbor,Tuesday,06:00-09:00,40,3,90,42,42
Greedy Demand,Tuesday,06:00-09:00,40,3,90,71,29
Nearest Neighbor,Tuesday,06:00-09:00,40,4,90,62,55
Greedy Demand,Tuesday,06:00-09:00,40,4,90,89,38
Nearest Neighbor,Tuesday,06:00-09:00,40,5,90,71,65
Greedy Demand,Tuesday,06:00-09:00,40,5,90,104,49
Nearest Neighbor,Tuesday,06:00-09:00,40,1,120,24,20
Greedy Demand,Tuesday,06:00-09:00,40,1,120,37,12
Nearest Neighbor,Tuesday,06:00-09:00,40,2,120,41,38
Greedy Demand,Tuesday,06:00-09:00,40,2,120,67,27
Nearest Neighbor,Tuesday,06:00-09:00,40,3,120,67,56
Greedy Demand,Tuesday,06:00-09:00,40,3,120,96,42
Nearest Neighbor,Tuesday,06:00-09:00,40,4,120,80,71
Greedy Demand,Tuesday,06:00-09:00,40,4,120,106,50
Nearest Neighbor,Tuesday,06:00-09:00,40,5,120,93,88
Greedy Demand,Tuesday,06:00-09:00,40,5,120,124,68
Nearest Neighbor,Tuesday,06:00-09:00,40,1,150,29,25
Greedy Demand,Tuesday,06:00-09:00,40,1,150,47,17
Nearest Neighbor,Tuesday,06:00-09:00,40,2,150,49,48
Greedy Demand,Tuesday,06:00-09:00,40,2,150,83,35
Nearest Neighbor,Tuesday,06:00-09:00,40,3,150,80,71
Greedy Demand,Tuesday,06:00-09:00,40,3,150,102,46
Nearest Neighbor,Tuesday,06:00-09:00,40,4,150,99,91
Greedy Demand,Tuesday,06:00-09:00,40,4,150,124,68
Nearest Neighbor,Tuesday,06:00-09:00,40,5,150,117,109
Greedy Demand,Tuesday,06:00-09:00,40,5,150,144,88
Nearest Neighbor,Tuesday,06:00-09:00,40,1,180,35,30
Greedy Demand,Tuesday,06:00-09:00,40,1,180,56,22
Nearest Neighbor,Tuesday,06:00-09:00,40,2,180,58,56
Greedy Demand,Tuesday,06:00-09:00,40,2,180,98,43
Nearest Neighbor,Tuesday,06:00-09:00,40,3,180,96,85
Greedy Demand,Tuesday,06:00-09:00,40,3,180,117,61
Nearest Neighbor,Tuesday,06:00-09:00,40,4,180,116,109
Greedy Demand,Tuesday,06:00-09:00,40,4,180,143,88
Nearest Neighbor,Tuesday,06:00-09:00,40,5,180,147,129
Greedy Demand,Tuesday,06:00-09:00,40,5,180,157,106
Nearest Neighbor,Wednesday,06:00-09:00,20,1,60,8,10
Greedy Demand,Wednesday,06:00-09:00,20,1,60,12,3
Nearest Neighbor,Wednesday,06:00-09:00,20,2,60,20,20
Greedy Demand,Wednesday,06:00-09:00,20,2,60,30,9
Nearest Neighbor,Wednesday,06:00-09:00,20,3,60,30,28
Greedy Demand,Wednesday,06:00-09:00,20,3,60,37,12
Nearest Neighbor,Wednesday,06:00-09:00,20,4,60,41,36
Greedy Demand,Wednesday,06:00-09:00,20,4,60,51,19
Nearest Neighbor,Wednesday,06:00-09:00,20,5,60,53,44
Greedy Demand,Wednesday,06:00-09:00,20,5,60,64,26
Nearest Neighbor,Wednesday,06:00-09:00,20,1,90,16,15
Greedy Demand,Wednesday,06:00-09:00,20,1,90,24,7
